,id,label,lon-lat,geometry,neighborhood,nbhd_geom,type of region,code,population (count),age 15-25 (%),age 25-45 (%),age 45-65 (%),age >65 (%),migrants (%),Western migrants (%),non-Western migrants (%),education low (%),education secondary (%),education high (%),property value (x1000 euro),income per inhabitant (x1000 euro),40% with lowest income (%),20% with highest income (%)
0,20190513TMX7316010203-001178pano_0001_004104_4.87904431374453_52.3719160051184,gentrified,"['4.87904431374453', '52.3719160051184']",POINT (4.87904431374453 52.3719160051184),Elandsgrachtbuurt,"POLYGON ((4.882588094483042 52.36892187581753, 4.879082227264428 52.3677387921189, 4.878284886874096 52.36881942199649, 4.87628630302112 52.37182026365919, 4.8763855460279215 52.372319465374545, 4.88306195254267 52.37398379936667, 4.882925583140543 52.37240978453929, 4.882588094483042 52.36892187581753))",Buurt     ,BU03630606,4325.0,9.71,37.69,27.75,17.11,44.39,29.83,14.57,7.17,21.04,57.57,477.0,39.8,37.8,28.1
1,20210317TMX7316010203-002044pano_0000_000784_4.87976847022201_52.3708683069787,gentrified,"['4.87976847022201', '52.3708683069787']",POINT (4.87976847022201 52.3708683069787),Elandsgrachtbuurt,"POLYGON ((4.882588094483042 52.36892187581753, 4.879082227264428 52.3677387921189, 4.878284886874096 52.36881942199649, 4.87628630302112 52.37182026365919, 4.8763855460279215 52.372319465374545, 4.88306195254267 52.37398379936667, 4.882925583140543 52.37240978453929, 4.882588094483042 52.36892187581753))",Buurt     ,BU03630606,4325.0,9.71,37.69,27.75,17.11,44.39,29.83,14.57,7.17,21.04,57.57,477.0,39.8,37.8,28.1
2,20230220TMX7316010203-002978pano_0004_000038_4.88273090828026_52.3733198656603,gentrified,"['4.88273090828026', '52.3733198656603']",POINT (4.88273090828026 52.3733198656603),Elandsgrachtbuurt,"POLYGON ((4.882588094483042 52.36892187581753, 4.879082227264428 52.3677387921189, 4.878284886874096 52.36881942199649, 4.87628630302112 52.37182026365919, 4.8763855460279215 52.372319465374545, 4.88306195254267 52.37398379936667, 4.882925583140543 52.37240978453929, 4.882588094483042 52.36892187581753))",Buurt     ,BU03630606,4325.0,9.71,37.69,27.75,17.11,44.39,29.83,14.57,7.17,21.04,57.57,477.0,39.8,37.8,28.1
3,20220429TMX7316010203-002550pano_0000_000712_4.88010837247913_52.3703502339621,gentrified,"['4.88010837247913', '52.3703502339621']",POINT (4.88010837247913 52.3703502339621),Elandsgrachtbuurt,"POLYGON ((4.882588094483042 52.36892187581753, 4.879082227264428 52.3677387921189, 4.878284886874096 52.36881942199649, 4.87628630302112 52.37182026365919, 4.8763855460279215 52.372319465374545, 4.88306195254267 52.37398379936667, 4.882925583140543 52.37240978453929, 4.882588094483042 52.36892187581753))",Buurt     ,BU03630606,4325.0,9.71,37.69,27.75,17.11,44.39,29.83,14.57,7.17,21.04,57.57,477.0,39.8,37.8,28.1
4,20230116TMX7316010203-002939pano_0000_000094_4.88102143662789_52.3727939863886,gentrified,"['4.88102143662789', '52.3727939863886']",POINT (4.88102143662789 52.3727939863886),Elandsgrachtbuurt,"POLYGON ((4.882588094483042 52.36892187581753, 4.879082227264428 52.3677387921189, 4.878284886874096 52.36881942199649, 4.87628630302112 52.37182026365919, 4.8763855460279215 52.372319465374545, 4.88306195254267 52.37398379936667, 4.882925583140543 52.37240978453929, 4.882588094483042 52.36892187581753))",Buurt     ,BU03630606,4325.0,9.71,37.69,27.75,17.11,44.39,29.83,14.57,7.17,21.04,57.57,477.0,39.8,37.8,28.1
5,20211230TMX7316010203-002369pano_0001_000099_4.88090031206827_52.3692159159752,gentrified,"['4.88090031206827', '52.3692159159752']",POINT (4.88090031206827 52.3692159159752),Elandsgrachtbuurt,"POLYGON ((4.882588094483042 52.36892187581753, 4.879082227264428 52.3677387921189, 4.878284886874096 52.36881942199649, 4.87628630302112 52.37182026365919, 4.8763855460279215 52.372319465374545, 4.88306195254267 52.37398379936667, 4.882925583140543 52.37240978453929, 4.882588094483042 52.36892187581753))",Buurt     ,BU03630606,4325.0,9.71,37.69,27.75,17.11,44.39,29.83,14.57,7.17,21.04,57.57,477.0,39.8,37.8,28.1
6,20230220TMX7316010203-002979pano_0014_000157_4.87920678180693_52.3710830433361,gentrified,"['4.87920678180693', '52.3710830433361']",POINT (4.87920678180693 52.3710830433361),Elandsgrachtbuurt,"POLYGON ((4.882588094483042 52.36892187581753, 4.879082227264428 52.3677387921189, 4.878284886874096 52.36881942199649, 4.87628630302112 52.37182026365919, 4.8763855460279215 52.372319465374545, 4.88306195254267 52.37398379936667, 4.882925583140543 52.37240978453929, 4.882588094483042 52.36892187581753))",Buurt     ,BU03630606,4325.0,9.71,37.69,27.75,17.11,44.39,29.83,14.57,7.17,21.04,57.57,477.0,39.8,37.8,28.1
7,20230227TMX7316010203-002985pano_0006_000053_4.87739904853277_52.3706154360198,gentrified,"['4.87739904853277', '52.3706154360198']",POINT (4.87739904853277 52.3706154360198),Elandsgrachtbuurt,"POLYGON ((4.882588094483042 52.36892187581753, 4.879082227264428 52.3677387921189, 4.878284886874096 52.36881942199649, 4.87628630302112 52.37182026365919, 4.8763855460279215 52.372319465374545, 4.88306195254267 52.37398379936667, 4.882925583140543 52.37240978453929, 4.882588094483042 52.36892187581753))",Buurt     ,BU03630606,4325.0,9.71,37.69,27.75,17.11,44.39,29.83,14.57,7.17,21.04,57.57,477.0,39.8,37.8,28.1
8,20210317TMX7316010203-002044pano_0000_000307_4.87848389349911_52.3688711660483,gentrified,"['4.87848389349911', '52.3688711660483']",POINT (4.87848389349911 52.3688711660483),Elandsgrachtbuurt,"POLYGON ((4.882588094483042 52.36892187581753, 4.879082227264428 52.3677387921189, 4.878284886874096 52.36881942199649, 4.87628630302112 52.37182026365919, 4.8763855460279215 52.372319465374545, 4.88306195254267 52.37398379936667, 4.882925583140543 52.37240978453929, 4.882588094483042 52.36892187581753))",Buurt     ,BU03630606,4325.0,9.71,37.69,27.75,17.11,44.39,29.83,14.57,7.17,21.04,57.57,477.0,39.8,37.8,28.1
9,20180503TMX7316010203-000705pano_0001_000356_4.8806027141417_52.372705269607,gentrified,"['4.8806027141417', '52.372705269607']",POINT (4.8806027141417 52.372705269607),Elandsgrachtbuurt,"POLYGON ((4.882588094483042 52.36892187581753, 4.879082227264428 52.3677387921189, 4.878284886874096 52.36881942199649, 4.87628630302112 52.37182026365919, 4.8763855460279215 52.372319465374545, 4.88306195254267 52.37398379936667, 4.882925583140543 52.37240978453929, 4.882588094483042 52.36892187581753))",Buurt     ,BU03630606,4325.0,9.71,37.69,27.75,17.11,44.39,29.83,14.57,7.17,21.04,57.57,477.0,39.8,37.8,28.1
