,id,label,year,lon-lat,geometry,neighborhood,nbhd_geom
0,989.jpg,non-gentrified,2019,"['4.8567896', '52.3509986']",POINT (4.8567896 52.3509986),Schinkelbuurt Zuid,"POLYGON ((4.85736153016821 52.349809265493136, 4.857584539049543 52.34735592721196, 4.853054844058201 52.34680021383009, 4.852166330987331 52.34611501656438, 4.851846138810304 52.34562566686465, 4.851561750765705 52.34484531900961, 4.851816305150686 52.343347667690566, 4.8481012256129485 52.34261155494088, 4.851688854199489 52.34869423731511, 4.85240993936906 52.35095163169024, 4.852667089615688 52.350914730074216, 4.853496799177183 52.35079242073026, 4.854073036205722 52.35080391554606, 4.856624516359027 52.35149854094431, 4.85736153016821 52.349809265493136))"
1,990.jpg,gentrified,2019,"['4.856756', '52.3510857']",POINT (4.856756 52.3510857),Schinkelbuurt Zuid,"POLYGON ((4.85736153016821 52.349809265493136, 4.857584539049543 52.34735592721196, 4.853054844058201 52.34680021383009, 4.852166330987331 52.34611501656438, 4.851846138810304 52.34562566686465, 4.851561750765705 52.34484531900961, 4.851816305150686 52.343347667690566, 4.8481012256129485 52.34261155494088, 4.851688854199489 52.34869423731511, 4.85240993936906 52.35095163169024, 4.852667089615688 52.350914730074216, 4.853496799177183 52.35079242073026, 4.854073036205722 52.35080391554606, 4.856624516359027 52.35149854094431, 4.85736153016821 52.349809265493136))"
2,991.jpg,non-gentrified,2019,"['4.8567395', '52.3511292']",POINT (4.8567395 52.3511292),Schinkelbuurt Zuid,"POLYGON ((4.85736153016821 52.349809265493136, 4.857584539049543 52.34735592721196, 4.853054844058201 52.34680021383009, 4.852166330987331 52.34611501656438, 4.851846138810304 52.34562566686465, 4.851561750765705 52.34484531900961, 4.851816305150686 52.343347667690566, 4.8481012256129485 52.34261155494088, 4.851688854199489 52.34869423731511, 4.85240993936906 52.35095163169024, 4.852667089615688 52.350914730074216, 4.853496799177183 52.35079242073026, 4.854073036205722 52.35080391554606, 4.856624516359027 52.35149854094431, 4.85736153016821 52.349809265493136))"
3,992.jpg,gentrified,2019,"['4.8568939', '52.3512008']",POINT (4.8568939 52.3512008),Valeriusbuurt West,"POLYGON ((4.863513665966371 52.353209933722084, 4.863807429682267 52.352806873636595, 4.864545127851692 52.351723602651994, 4.865301708218637 52.35191478530507, 4.866022386689922 52.35090162447072, 4.8652456810514675 52.35070689730636, 4.861533612231718 52.34978239027748, 4.860929479861602 52.3507629225912, 4.85736153016821 52.349809265493136, 4.856624516359027 52.35149854094431, 4.857643339765006 52.35176410837261, 4.859821977590837 52.352322044371014, 4.860901556131791 52.35264124158619, 4.86197182601463 52.352861522179744, 4.862845578937679 52.35318028236762, 4.863513665966371 52.353209933722084))"
4,993.jpg,gentrified,2019,"['4.8567025', '52.3512191']",POINT (4.8567025 52.3512191),Schinkelbuurt Zuid,"POLYGON ((4.85736153016821 52.349809265493136, 4.857584539049543 52.34735592721196, 4.853054844058201 52.34680021383009, 4.852166330987331 52.34611501656438, 4.851846138810304 52.34562566686465, 4.851561750765705 52.34484531900961, 4.851816305150686 52.343347667690566, 4.8481012256129485 52.34261155494088, 4.851688854199489 52.34869423731511, 4.85240993936906 52.35095163169024, 4.852667089615688 52.350914730074216, 4.853496799177183 52.35079242073026, 4.854073036205722 52.35080391554606, 4.856624516359027 52.35149854094431, 4.85736153016821 52.349809265493136))"
5,994.jpg,gentrified,2019,"['4.8568136', '52.3513818']",POINT (4.8568136 52.3513818),Valeriusbuurt West,"POLYGON ((4.863513665966371 52.353209933722084, 4.863807429682267 52.352806873636595, 4.864545127851692 52.351723602651994, 4.865301708218637 52.35191478530507, 4.866022386689922 52.35090162447072, 4.8652456810514675 52.35070689730636, 4.861533612231718 52.34978239027748, 4.860929479861602 52.3507629225912, 4.85736153016821 52.349809265493136, 4.856624516359027 52.35149854094431, 4.857643339765006 52.35176410837261, 4.859821977590837 52.352322044371014, 4.860901556131791 52.35264124158619, 4.86197182601463 52.352861522179744, 4.862845578937679 52.35318028236762, 4.863513665966371 52.353209933722084))"
6,995.jpg,gentrified,2019,"['4.8565934', '52.3516965']",POINT (4.8565934 52.3516965),Willemsparkbuurt Noord,"POLYGON ((4.867440489015139 52.356022659092, 4.867864420194687 52.35539524212791, 4.867961438543835 52.355245392473655, 4.867889019884985 52.35522480739369, 4.867942193899863 52.354820187199415, 4.8678116566087875 52.35452301852291, 4.867390258049213 52.35431454018474, 4.866474816689692 52.354103887960186, 4.865834131955995 52.3539394228747, 4.865019439811063 52.3536753214285, 4.864324963728488 52.35355510022297, 4.863977394794949 52.35345469898413, 4.863513665966371 52.353209933722084, 4.862845578937679 52.35318028236762, 4.86197182601463 52.352861522179744, 4.860901556131791 52.35264124158619, 4.859821977590837 52.352322044371014, 4.857643339765006 52.35176410837261, 4.856624516359027 52.35149854094431, 4.856415936854524 52.351929153507704, 4.855497947818388 52.35443275517172, 4.856950342530429 52.354564829402825, 4.856988343950281 52.35476273042653, 4.857191022099739 52.35482691196773, 4.857446398211077 52.354872544593775, 4.857601177514187 52.354891527297, 4.8576195806097235 52.354837727996276, 4.857569635538866 52.354828606646755, 4.857494288294221 52.35478328573479, 4.8574892804599274 52.35472938168529, 4.857565919534553 52.35466645077626, 4.857659180851177 52.35463127649155, 4.857996185965851 52.354533918269155, 4.858361338067661 52.35444558273216, 4.858474785946097 52.35441000366638, 4.858592805773463 52.35432946115582, 4.8586543105444795 52.35424916051208, 4.858687566659556 52.35416823938148, 4.8586813726381886 52.35407824421373, 4.858644986123131 52.354015302211565, 4.858572596738459 52.353925011428345, 4.858426935435467 52.35381857483304, 4.858342579586901 52.353784089400115, 4.858159048915049 52.353671551339275, 4.858068789482784 52.353590572579044, 4.857981788868312 52.35350713668256, 4.85792504010146 52.35339170473473, 4.857917015112269 52.35331999142303, 4.857943330835972 52.35321185145931, 4.858000203927903 52.353113734652844, 4.858135438515803 52.352943302014985, 4.858157175180331 52.35288061962623, 4.8581354268003825 52.35280884498415, 4.858077841693157 52.35276360380804, 4.85824106324418 52.352683263688675, 4.858356121184515 52.352647691933136, 4.858501742102092 52.352621648801126, 4.858723950365177 52.35260435102492, 4.859014020660476 52.35265062954823, 4.858990664957133 52.352713799195165, 4.859171063252663 52.35275019564657, 4.859193832228536 52.35280417887127, 4.859205293984285 52.35285860598002, 4.85918829641781 52.35293020758502, 4.858982457654872 52.3530642404803, 4.858893508707125 52.353144418816996, 4.858711515573603 52.35337742308222, 4.858658674094843 52.35347605255107, 4.85863429825691 52.35355701333854, 4.858639426556558 52.3537364769519, 4.858733671525866 52.35388964480781, 4.858818977386805 52.35397999315103, 4.858916392562277 52.35407039547562, 4.859023601219824 52.354151943532266, 4.859160685050021 52.354233130439496, 4.859679210400938 52.35441735476047, 4.859986008276082 52.35455169557988, 4.860402213681478 52.354786870915085, 4.860732529088385 52.35504885075768, 4.860957241898947 52.355229784949515, 4.8611767976807885 52.355369172336296, 4.861441861798407 52.355483550783546, 4.86165492742289 52.3555576573112, 4.861736966843361 52.35558372651471, 4.861928517349392 52.35563400935208, 4.8622145217138 52.35568471082743, 4.862562144134999 52.35571344002489, 4.862811493093703 52.355723442796794, 4.863053681598095 52.355724515456444, 4.863405883952149 52.35570729007267, 4.863867688683511 52.355638149633094, 4.864176814694936 52.35557673643178, 4.864402086367419 52.355506054221756, 4.864596895682124 52.355416947011115, 4.8648464266936955 52.35527419936827, 4.8651197501304475 52.35516764198723, 4.865343304845267 52.35510535397106, 4.865499424449262 52.35507934851307, 4.8658105480355145 52.35505353137878, 4.8660970232710135 52.35506418509086, 4.866349389687961 52.355091989460206, 4.8664682692215555 52.355074716735515, 4.866558301031033 52.35503902692535, 4.8666564389415505 52.35493169533385, 4.866734114654978 52.35477928996613, 4.866791535744749 52.35477064455137, 4.866845519051015 52.35477977975522, 4.866914527736435 52.354815674616695, 4.866914527736435 52.354815674616695, 4.866949624997371 52.35485191472334, 4.867022932937195 52.354934295118426, 4.867093666970264 52.35516743376897, 4.867074050812506 52.355256820688204, 4.866932280814433 52.355436132531935, 4.866652367987461 52.35582937451, 4.867440489015139 52.356022659092))"
7,996.jpg,non-gentrified,2019,"['4.8563563', '52.3517739']",POINT (4.8563563 52.3517739),Schinkelbuurt Noord,"POLYGON ((4.854796884493736 52.35627591529394, 4.855359308511795 52.354818696083484, 4.855497947818388 52.35443275517172, 4.856415936854524 52.351929153507704, 4.856624516359027 52.35149854094431, 4.854073036205722 52.35080391554606, 4.853496799177183 52.35079242073026, 4.852667089615688 52.350914730074216, 4.85240993936906 52.35095163169024, 4.853579220910392 52.35474691639596, 4.854088124321982 52.35640273333185, 4.854796884493736 52.35627591529394))"
8,997.jpg,non-gentrified,2019,"['4.8563563', '52.3517739']",POINT (4.8563563 52.3517739),Schinkelbuurt Noord,"POLYGON ((4.854796884493736 52.35627591529394, 4.855359308511795 52.354818696083484, 4.855497947818388 52.35443275517172, 4.856415936854524 52.351929153507704, 4.856624516359027 52.35149854094431, 4.854073036205722 52.35080391554606, 4.853496799177183 52.35079242073026, 4.852667089615688 52.350914730074216, 4.85240993936906 52.35095163169024, 4.853579220910392 52.35474691639596, 4.854088124321982 52.35640273333185, 4.854796884493736 52.35627591529394))"
9,998.jpg,non-gentrified,2019,"['4.8565596', '52.3517848']",POINT (4.8565596 52.3517848),Willemsparkbuurt Noord,"POLYGON ((4.867440489015139 52.356022659092, 4.867864420194687 52.35539524212791, 4.867961438543835 52.355245392473655, 4.867889019884985 52.35522480739369, 4.867942193899863 52.354820187199415, 4.8678116566087875 52.35452301852291, 4.867390258049213 52.35431454018474, 4.866474816689692 52.354103887960186, 4.865834131955995 52.3539394228747, 4.865019439811063 52.3536753214285, 4.864324963728488 52.35355510022297, 4.863977394794949 52.35345469898413, 4.863513665966371 52.353209933722084, 4.862845578937679 52.35318028236762, 4.86197182601463 52.352861522179744, 4.860901556131791 52.35264124158619, 4.859821977590837 52.352322044371014, 4.857643339765006 52.35176410837261, 4.856624516359027 52.35149854094431, 4.856415936854524 52.351929153507704, 4.855497947818388 52.35443275517172, 4.856950342530429 52.354564829402825, 4.856988343950281 52.35476273042653, 4.857191022099739 52.35482691196773, 4.857446398211077 52.354872544593775, 4.857601177514187 52.354891527297, 4.8576195806097235 52.354837727996276, 4.857569635538866 52.354828606646755, 4.857494288294221 52.35478328573479, 4.8574892804599274 52.35472938168529, 4.857565919534553 52.35466645077626, 4.857659180851177 52.35463127649155, 4.857996185965851 52.354533918269155, 4.858361338067661 52.35444558273216, 4.858474785946097 52.35441000366638, 4.858592805773463 52.35432946115582, 4.8586543105444795 52.35424916051208, 4.858687566659556 52.35416823938148, 4.8586813726381886 52.35407824421373, 4.858644986123131 52.354015302211565, 4.858572596738459 52.353925011428345, 4.858426935435467 52.35381857483304, 4.858342579586901 52.353784089400115, 4.858159048915049 52.353671551339275, 4.858068789482784 52.353590572579044, 4.857981788868312 52.35350713668256, 4.85792504010146 52.35339170473473, 4.857917015112269 52.35331999142303, 4.857943330835972 52.35321185145931, 4.858000203927903 52.353113734652844, 4.858135438515803 52.352943302014985, 4.858157175180331 52.35288061962623, 4.8581354268003825 52.35280884498415, 4.858077841693157 52.35276360380804, 4.85824106324418 52.352683263688675, 4.858356121184515 52.352647691933136, 4.858501742102092 52.352621648801126, 4.858723950365177 52.35260435102492, 4.859014020660476 52.35265062954823, 4.858990664957133 52.352713799195165, 4.859171063252663 52.35275019564657, 4.859193832228536 52.35280417887127, 4.859205293984285 52.35285860598002, 4.85918829641781 52.35293020758502, 4.858982457654872 52.3530642404803, 4.858893508707125 52.353144418816996, 4.858711515573603 52.35337742308222, 4.858658674094843 52.35347605255107, 4.85863429825691 52.35355701333854, 4.858639426556558 52.3537364769519, 4.858733671525866 52.35388964480781, 4.858818977386805 52.35397999315103, 4.858916392562277 52.35407039547562, 4.859023601219824 52.354151943532266, 4.859160685050021 52.354233130439496, 4.859679210400938 52.35441735476047, 4.859986008276082 52.35455169557988, 4.860402213681478 52.354786870915085, 4.860732529088385 52.35504885075768, 4.860957241898947 52.355229784949515, 4.8611767976807885 52.355369172336296, 4.861441861798407 52.355483550783546, 4.86165492742289 52.3555576573112, 4.861736966843361 52.35558372651471, 4.861928517349392 52.35563400935208, 4.8622145217138 52.35568471082743, 4.862562144134999 52.35571344002489, 4.862811493093703 52.355723442796794, 4.863053681598095 52.355724515456444, 4.863405883952149 52.35570729007267, 4.863867688683511 52.355638149633094, 4.864176814694936 52.35557673643178, 4.864402086367419 52.355506054221756, 4.864596895682124 52.355416947011115, 4.8648464266936955 52.35527419936827, 4.8651197501304475 52.35516764198723, 4.865343304845267 52.35510535397106, 4.865499424449262 52.35507934851307, 4.8658105480355145 52.35505353137878, 4.8660970232710135 52.35506418509086, 4.866349389687961 52.355091989460206, 4.8664682692215555 52.355074716735515, 4.866558301031033 52.35503902692535, 4.8666564389415505 52.35493169533385, 4.866734114654978 52.35477928996613, 4.866791535744749 52.35477064455137, 4.866845519051015 52.35477977975522, 4.866914527736435 52.354815674616695, 4.866914527736435 52.354815674616695, 4.866949624997371 52.35485191472334, 4.867022932937195 52.354934295118426, 4.867093666970264 52.35516743376897, 4.867074050812506 52.355256820688204, 4.866932280814433 52.355436132531935, 4.866652367987461 52.35582937451, 4.867440489015139 52.356022659092))"
