,id,label,lon-lat,geometry,neighborhood,nbhd_geom,type of region,code,population (count),age 15-25 (%),age 25-45 (%),age 45-65 (%),age >65 (%),migrants (%),Western migrants (%),non-Western migrants (%),education low (%),education secondary (%),education high (%),property value (x1000 euro),income per inhabitant (x1000 euro),40% with lowest income (%),20% with highest income (%)
0,osm-node-1223236885,gentrified,"[4.893005, 52.3799291]",POINT (4.893005 52.3799291),Haarlemmerbuurt Oost,"POLYGON ((4.89396417880231 52.37882119382275, 4.890190754945795 52.37964922652095, 4.8883993214541555 52.380492919083736, 4.890292610951408 52.38238177849778, 4.8920082798408115 52.3814542000897, 4.895745060036502 52.38022604994135, 4.895461511705124 52.37993618811951, 4.89396417880231 52.37882119382275))",Buurt     ,BU03630501,1490.0,10.74,36.58,28.52,16.44,41.28,27.18,14.09,10.07,20.13,57.72,518.0,36.9,34.9,29.6
1,osm-node-1772991829,non-gentrified,"[4.8895298, 52.368966]",POINT (4.8895298 52.368966),Begijnhofbuurt,"POLYGON ((4.890626660231313 52.372605459316006, 4.891215914204723 52.37270679390443, 4.892047955711432 52.372764157611265, 4.892951362977451 52.3727229485836, 4.892905995452405 52.3723006065017, 4.893051943507122 52.37217664603449, 4.892450954666337 52.36907274626438, 4.891003138605819 52.3689851239217, 4.889238057004946 52.36867222091147, 4.889338805109296 52.36933751101427, 4.8906386244847155 52.37139243807763, 4.890626660231313 52.372605459316006))",Buurt     ,BU03630106,415.0,12.05,49.4,19.28,16.87,51.81,33.73,18.07,4.82,19.28,69.88,488.0,34.5,36.1,23.1
2,osm-node-1977672311,non-gentrified,"[4.8026959, 52.3589167]",POINT (4.8026959 52.3589167),Osdorpplein e.o.,"POLYGON ((4.800791766901469 52.355168961019785, 4.799197018065611 52.3579920713029, 4.798163195242855 52.35917579198688, 4.806709133102268 52.360874997463576, 4.807455755453554 52.36101805691904, 4.80983824038576 52.35725303307607, 4.808900340126332 52.35710905401091, 4.808903475197809 52.35680654027409, 4.800791766901469 52.355168961019785))",Buurt     ,BU03638102,3275.0,13.44,32.82,19.54,13.13,74.66,12.52,62.14,25.34,30.53,33.89,298.0,22.2,46.5,16.3
3,osm-node-2507166317,non-gentrified,"[4.8995483, 52.356797]",POINT (4.8995483 52.356797),Sarphatiparkbuurt,"POLYGON ((4.8969674507779555 52.356894562426405, 4.898483591151349 52.357341275433775, 4.898215186657719 52.35796005096716, 4.89874386333343 52.357974097402234, 4.899157982396105 52.35805341449618, 4.899540351760656 52.357128130395964, 4.899724491785631 52.3566815243997, 4.901225582012438 52.35481815775341, 4.899151822987557 52.35413536570073, 4.894565618490386 52.35325327480289, 4.891167156822429 52.352799131925956, 4.890321132590224 52.35488954823953, 4.890452942419485 52.355447206641124, 4.892884654159216 52.355951711945046, 4.895538032275744 52.35649317371283, 4.8969674507779555 52.356894562426405))",Buurt     ,BU03632404,5005.0,12.49,49.75,21.08,9.19,47.05,27.97,19.08,18.18,17.18,54.15,438.0,38.7,34.1,29.4
4,osm-node-2724000369,non-gentrified,"[4.8906526, 52.3689837]",POINT (4.8906526 52.3689837),Begijnhofbuurt,"POLYGON ((4.890626660231313 52.372605459316006, 4.891215914204723 52.37270679390443, 4.892047955711432 52.372764157611265, 4.892951362977451 52.3727229485836, 4.892905995452405 52.3723006065017, 4.893051943507122 52.37217664603449, 4.892450954666337 52.36907274626438, 4.891003138605819 52.3689851239217, 4.889238057004946 52.36867222091147, 4.889338805109296 52.36933751101427, 4.8906386244847155 52.37139243807763, 4.890626660231313 52.372605459316006))",Buurt     ,BU03630106,415.0,12.05,49.4,19.28,16.87,51.81,33.73,18.07,4.82,19.28,69.88,488.0,34.5,36.1,23.1
5,osm-node-2724250177,non-gentrified,"[4.8952927, 52.3720473]",POINT (4.8952927 52.3720473),Oude Kerk e.o.,"POLYGON ((4.895737711010795 52.37185069538646, 4.894125180024033 52.37240455464958, 4.893893617185108 52.372529148413314, 4.892951362977451 52.3727229485836, 4.893152803084815 52.373200317553966, 4.896530782435684 52.37572206796376, 4.897022706126595 52.375499682462724, 4.897849680514526 52.37514323538558, 4.897969126498384 52.375224798021264, 4.899180677816262 52.3747829290352, 4.899390401689737 52.37473436085741, 4.895737711010795 52.37185069538646))",Buurt     ,BU03630001,730.0,17.81,50.68,17.81,9.59,51.37,34.25,17.12,27.4,20.55,39.73,431.0,31.5,43.3,19.2
6,osm-node-2725660988,non-gentrified,"[4.8998533, 52.3735067]",POINT (4.8998533 52.3735067),Burgwallen Oost,"POLYGON ((4.895737711010795 52.37185069538646, 4.899390401689737 52.37473436085741, 4.899622777171768 52.37468242531892, 4.900265697077735 52.374461142360694, 4.901255952891248 52.374162190105885, 4.9009174768608155 52.37357848732083, 4.900737231174002 52.373149168323295, 4.901039078764813 52.373095043796766, 4.900433370950524 52.37206189027134, 4.899863427547947 52.372186587061165, 4.898713691918813 52.37098261953863, 4.896751746918382 52.37151678243619, 4.895737711010795 52.37185069538646))",Buurt     ,BU03630002,1615.0,15.79,48.3,19.2,10.84,53.25,33.44,19.81,9.91,27.24,55.11,462.0,29.2,43.7,18.3
7,osm-node-2729939496,gentrified,"[4.8868935, 52.3659583]",POINT (4.8868935 52.3659583),Spiegelbuurt,"POLYGON ((4.8905131679262075 52.36550252991074, 4.889395826760536 52.364256092963856, 4.889395826760536 52.364256092963856, 4.888016296165818 52.36270700139722, 4.8878249706377845 52.36277490569894, 4.884502473035528 52.365036222752735, 4.887988341916879 52.3666985574495, 4.888207943611415 52.36677462056565, 4.8905131679262075 52.36550252991074))",Buurt     ,BU03630300,820.0,9.76,43.29,23.78,12.8,54.27,37.2,17.07,10.98,17.07,57.32,829.0,55.5,25.9,43.3
8,osm-node-2736734787,non-gentrified,"[4.80093, 52.3962377]",POINT (4.80093 52.3962377),,,,,,,,,,,,,,,,,,,
9,osm-node-2737805069,gentrified,"[4.898009, 52.3648554]",POINT (4.898009 52.3648554),Amstelveldbuurt,"POLYGON ((4.900561960108964 52.36564114848261, 4.900600139659583 52.36554688943939, 4.900665458614841 52.3655550670772, 4.901216462641264 52.36449749845643, 4.901166074685608 52.3644532967232, 4.901257071452569 52.3642549517929, 4.901359005537946 52.36423757446275, 4.902085092618959 52.3628203573134, 4.9020137233967365 52.3627750812972, 4.902037673883127 52.3627262413073, 4.896109330165904 52.36162762981955, 4.89587747869554 52.364773539721746, 4.900561960108964 52.36564114848261))",Buurt     ,BU03630303,1515.0,13.53,30.36,29.37,16.5,39.6,27.39,12.21,5.94,19.8,60.07,826.0,,31.2,40.4
