"Wijken en buurten";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Leeftijdsgroepen/15 tot 25 jaar (aantal)";"Bevolking/Leeftijdsgroepen/25 tot 45 jaar (aantal)";"Bevolking/Leeftijdsgroepen/45 tot 65 jaar (aantal)";"Bevolking/Leeftijdsgroepen/65 jaar of ouder (aantal)";"Bevolking/Personen met een migratieachtergrond/Westers totaal (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Niet-westers totaal (aantal)";"Wonen/Gemiddelde WOZ-waarde van woningen (x 1 000 euro)";"Opleidingsniveau/Opleidingsniveau laag  (aantal)";"Opleidingsniveau/Opleidingsniveau middelbaar  (aantal)";"Opleidingsniveau/Opleidingsniveau hoog  (aantal)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inwoner  (x 1 000 euro)";"Inkomen/Inkomen van personen/40% personen met laagste inkomen (%)";"Inkomen/Inkomen van personen/20% personen met hoogste inkomen (%)"
"Amsterdam";"Gemeente  ";"GM0363    ";"  872757";"  108636";"  317667";"  210376";"  110959";"  170164";"  314818";"     415";"  160230";"  206500";"  338970";"    32.4";"    39.7";"    24.6"
"Burgwallen-Oude Zijde";"Wijk      ";"WK036300  ";"    4465";"     695";"    2190";"     940";"     425";"    1510";"     775";"     469";"     450";"    1160";"    2540";"    32.8";"    40.5";"    22.5"
"Kop Zeedijk";"Buurt     ";"BU03630000";"    1100";"     125";"     575";"     275";"      75";"     395";"     200";"     423";"      40";"     350";"     670";"    37.0";"    33.0";"    27.7"
"Oude Kerk e.o.";"Buurt     ";"BU03630001";"     730";"     130";"     370";"     130";"      70";"     250";"     125";"     431";"     200";"     150";"     290";"    31.5";"    43.3";"    19.2"
"Burgwallen Oost";"Buurt     ";"BU03630002";"    1615";"     255";"     780";"     310";"     175";"     540";"     320";"     462";"     160";"     440";"     890";"    29.2";"    43.7";"    18.3"
"Nes e.o.";"Buurt     ";"BU03630003";"     350";"      55";"     180";"      70";"      25";"     130";"      45";"     617";"      20";"      80";"     230";"    37.1";"    35.4";"    30.6"
"BG-terrein e.o.";"Buurt     ";"BU03630004";"     675";"     125";"     285";"     145";"      75";"     190";"      90";"     537";"      70";"     120";"     440";"    33.8";"    44.3";"    23.8"
"Burgwallen-Nieuwe Zijde";"Wijk      ";"WK036301  ";"    4130";"     615";"    2215";"     780";"     330";"    1575";"     735";"     480";"     310";"    1110";"    2340";"    38.0";"    33.7";"    27.9"
"Stationsplein e.o.";"Buurt     ";"BU03630100";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"Hemelrijk";"Buurt     ";"BU03630101";"     575";"      85";"     315";"     115";"      40";"     215";"      85";"     441";"      40";"     150";"     330";"    39.3";"    31.4";"    26.8"
"Nieuwendijk Noord";"Buurt     ";"BU03630102";"     460";"      80";"     255";"      95";"      20";"     195";"     100";"     475";"      70";"     120";"     230";"    35.8";"    35.2";"    26.7"
"Spuistraat Noord";"Buurt     ";"BU03630103";"     825";"     110";"     450";"     160";"      70";"     315";"     135";"     480";"      40";"     290";"     420";"    37.1";"    35.1";"    27.8"
"Nieuwe Kerk e.o.";"Buurt     ";"BU03630104";"     820";"     130";"     460";"     135";"      45";"     305";"     175";"     466";"      80";"     200";"     450";"    36.0";"    32.9";"    25.6"
"Spuistraat Zuid";"Buurt     ";"BU03630105";"     725";"      90";"     370";"     155";"      65";"     285";"     115";"     475";"      40";"     190";"     440";"    41.6";"    33.1";"    31.8"
"Begijnhofbuurt";"Buurt     ";"BU03630106";"     415";"      50";"     205";"      80";"      70";"     140";"      75";"     488";"      20";"      80";"     290";"    34.5";"    36.1";"    23.1"
"Kalverdriehoek";"Buurt     ";"BU03630107";"     310";"      70";"     165";"      45";"      20";"     125";"      55";"       .";"      20";"     110";"     160";"    43.1";"    32.1";"    35.9"
"Grachtengordel-West";"Wijk      ";"WK036302  ";"    6435";"     870";"    2265";"    1745";"    1100";"    2240";"     720";"     818";"    1450";"     850";"    3240";"    62.6";"    30.7";"    40.5"
"Langestraat e.o.";"Buurt     ";"BU03630200";"    1870";"     195";"     595";"     510";"     390";"     615";"     165";"     814";"     230";"     300";"    1040";"    53.6";"    31.5";"    39.9"
"Leliegracht e.o.";"Buurt     ";"BU03630201";"    1825";"     360";"     625";"     440";"     270";"     665";"     250";"     825";"     220";"     350";"    1050";"    64.3";"    30.7";"    40.5"
"Felix Meritisbuurt";"Buurt     ";"BU03630202";"    2055";"     220";"     790";"     605";"     315";"     745";"     230";"     782";"      80";"     280";"    1410";"    68.4";"    30.0";"    40.5"
"Leidsegracht Noord";"Buurt     ";"BU03630203";"     685";"      85";"     255";"     185";"     120";"     220";"      80";"     927";"     410";"      40";"     130";"    66.3";"    30.5";"    42.4"
"Grachtengordel-Zuid";"Wijk      ";"WK036303  ";"    5435";"     720";"    2090";"    1365";"     800";"    1800";"     730";"     813";"     400";"    1070";"    3190";"    62.9";"    30.8";"    39.1"
"Spiegelbuurt";"Buurt     ";"BU03630300";"     820";"      80";"     355";"     195";"     105";"     305";"     140";"     829";"      90";"     140";"     470";"    55.5";"    25.9";"    43.3"
"Gouden Bocht";"Buurt     ";"BU03630301";"     145";"      25";"      50";"      35";"      25";"      55";"      10";"     993";"      50";"      20";"      50";"    66.8";"    25.4";"    43.0"
"Van Loonbuurt";"Buurt     ";"BU03630302";"    1415";"     190";"     460";"     390";"     255";"     410";"     140";"     925";"     100";"     270";"     830";"    56.8";"    32.2";"    38.8"
"Amstelveldbuurt";"Buurt     ";"BU03630303";"    1515";"     205";"     460";"     445";"     250";"     415";"     185";"     826";"      90";"     300";"     910";"       .";"    31.2";"    40.4"
"Rembrandtpleinbuurt";"Buurt     ";"BU03630304";"     490";"      55";"     290";"      85";"      40";"     190";"     115";"     593";"      20";"     100";"     330";"    51.3";"    25.1";"    37.5"
"Reguliersbuurt";"Buurt     ";"BU03630305";"     390";"      90";"     225";"      50";"      10";"     180";"      85";"     524";"       .";"       .";"       .";"    33.0";"    42.6";"    25.8"
"Leidsegracht Zuid";"Buurt     ";"BU03630306";"     660";"      75";"     245";"     175";"     115";"     250";"      55";"     827";"      30";"     120";"     400";"    51.7";"    31.0";"    40.9"
"Nieuwmarkt/Lastage";"Wijk      ";"WK036304  ";"    9710";"    1095";"    3315";"    2755";"    1780";"    2735";"    1525";"     494";"     830";"    2200";"    5250";"    38.8";"    36.5";"    29.3"
"Oosterdokseiland";"Buurt     ";"BU03630400";"     480";"      25";"     210";"     125";"      50";"     125";"     120";"     654";"      40";"      90";"     270";"    57.7";"    23.7";"    45.5"
"Scheepvaarthuisbuurt";"Buurt     ";"BU03630401";"     740";"     125";"     290";"     165";"     105";"     230";"      55";"     653";"      40";"     170";"     420";"    37.5";"    32.2";"    29.2"
"Rapenburg";"Buurt     ";"BU03630402";"    1005";"     210";"     370";"     240";"      90";"     335";"     185";"       .";"      90";"     250";"     530";"    35.5";"    37.5";"    31.7"
"Lastage";"Buurt     ";"BU03630403";"    1090";"     120";"     415";"     310";"     165";"     295";"     130";"     479";"      30";"     210";"     710";"    40.2";"    35.0";"    32.4"
"Nieuwmarkt";"Buurt     ";"BU03630404";"    1605";"     135";"     410";"     520";"     420";"     390";"     235";"     435";"     200";"     430";"     690";"    30.1";"    44.1";"    20.7"
"Uilenburg";"Buurt     ";"BU03630405";"    1225";"     115";"     460";"     365";"     200";"     355";"     250";"     488";"     110";"     280";"     690";"    45.8";"    33.5";"    34.8"
"Valkenburg";"Buurt     ";"BU03630406";"    1200";"     115";"     380";"     330";"     270";"     360";"     190";"     471";"      70";"     210";"     670";"    39.8";"    35.7";"    31.5"
"Zuiderkerkbuurt";"Buurt     ";"BU03630407";"    1495";"     150";"     480";"     475";"     320";"     400";"     210";"     518";"     170";"     380";"     780";"    38.6";"    38.6";"    26.5"
"Waterloopleinbuurt";"Buurt     ";"BU03630408";"     865";"     100";"     290";"     240";"     165";"     245";"     150";"     466";"      90";"     200";"     460";"    36.6";"    35.1";"    24.3"
"Haarlemmerbuurt";"Wijk      ";"WK036305  ";"    9275";"     815";"    3130";"    2775";"    1625";"    2330";"    1685";"     526";"    1240";"    1760";"    4760";"    38.3";"    36.0";"    29.8"
"Westerdokseiland";"Buurt     ";"BU03630500";"    1880";"     135";"     550";"     565";"     375";"     405";"     470";"     690";"     280";"     280";"     910";"    45.6";"    31.6";"    41.1"
"Haarlemmerbuurt Oost";"Buurt     ";"BU03630501";"    1490";"     160";"     545";"     425";"     245";"     405";"     210";"     518";"     150";"     300";"     860";"    36.9";"    34.9";"    29.6"
"Haarlemmerbuurt West";"Buurt     ";"BU03630502";"    2465";"     240";"     860";"     725";"     420";"     655";"     450";"     484";"     440";"     590";"    1030";"    36.7";"    38.0";"    27.5"
"Westelijke eilanden";"Buurt     ";"BU03630503";"    2930";"     250";"     930";"     920";"     525";"     725";"     455";"     517";"     310";"     490";"    1650";"    36.3";"    37.1";"    26.7"
"Planciusbuurt Noord";"Buurt     ";"BU03630505";"     350";"      20";"     190";"      85";"      35";"     110";"      65";"     331";"      30";"      70";"     210";"    32.7";"    36.4";"    22.7"
"Planciusbuurt Zuid";"Buurt     ";"BU03630506";"     165";"      10";"      65";"      55";"      30";"      35";"      35";"     329";"      20";"      50";"      80";"    34.6";"    45.7";"    11.3"
"Jordaan";"Wijk      ";"WK036306  ";"   19400";"    1890";"    7335";"    5395";"    3270";"    5455";"    2845";"     466";"    1710";"    3930";"   11040";"    38.7";"    37.6";"    27.3"
"Driehoekbuurt";"Buurt     ";"BU03630600";"    2735";"     240";"    1145";"     730";"     415";"     770";"     360";"     427";"     230";"     450";"    1700";"    39.0";"    38.1";"    28.2"
"Bloemgrachtbuurt";"Buurt     ";"BU03630602";"    2945";"     305";"    1080";"     795";"     490";"     890";"     375";"     529";"     200";"     520";"    1760";"    41.6";"    33.8";"    31.8"
"Marnixbuurt Noord";"Buurt     ";"BU03630603";"    1430";"     135";"     520";"     410";"     240";"     355";"     305";"     389";"     130";"     400";"     700";"    31.8";"    41.8";"    21.5"
"Zaagpoortbuurt";"Buurt     ";"BU03630604";"     965";"     125";"     515";"     205";"      75";"     295";"     235";"     302";"     120";"     270";"     500";"    30.7";"    41.5";"    18.4"
"Marnixbuurt Midden";"Buurt     ";"BU03630605";"     195";"      20";"     120";"      30";"      10";"      55";"      40";"     502";"      20";"      40";"     130";"    39.0";"    36.1";"    32.5"
"Elandsgrachtbuurt";"Buurt     ";"BU03630606";"    4325";"     420";"    1630";"    1200";"     740";"    1290";"     630";"     477";"     310";"     910";"    2490";"    39.8";"    37.8";"    28.1"
"Passeerdersgrachtbuurt";"Buurt     ";"BU03630607";"     860";"      80";"     315";"     240";"     170";"     245";"     115";"     579";"      70";"     120";"     580";"    45.6";"    36.8";"    31.6"
"Groenmarktkadebuurt";"Buurt     ";"BU03630608";"     245";"      45";"     145";"      30";"      15";"      85";"      45";"     453";"      20";"      90";"     130";"    43.9";"    27.4";"    34.4"
"Marnixbuurt Zuid";"Buurt     ";"BU03630609";"     675";"      30";"     290";"     135";"     195";"     190";"     110";"     423";"      30";"      70";"     380";"    41.5";"    30.7";"    28.9"
"Anjeliersbuurt Noord";"Buurt     ";"BU03630610";"    2085";"     235";"     645";"     650";"     370";"     525";"     235";"     514";"     270";"     480";"    1040";"    40.5";"    39.0";"    26.1"
"Anjeliersbuurt Zuid";"Buurt     ";"BU03630611";"    2935";"     260";"     935";"     970";"     545";"     750";"     390";"     468";"     340";"     660";"    1540";"    35.1";"    39.1";"    25.3"
"De Weteringschans";"Wijk      ";"WK036307  ";"    7295";"     870";"    3030";"    1750";"     955";"    2360";"     955";"     609";"     430";"    1490";"    4390";"    51.1";"    30.3";"    37.7"
"Leidsebuurt Noordwest";"Buurt     ";"BU03630700";"     260";"      40";"     135";"      60";"      20";"      95";"      45";"     509";"      10";"      40";"     200";"    39.5";"    33.8";"    31.2"
"Leidsebuurt Zuidwest";"Buurt     ";"BU03630701";"     135";"      20";"      65";"      30";"      15";"      55";"      25";"     524";"      10";"      50";"      70";"    40.8";"    38.6";"    24.6"
"Leidsebuurt Noordoost";"Buurt     ";"BU03630702";"    1010";"     205";"     535";"     155";"      70";"     390";"     185";"     512";"     110";"     270";"     550";"    41.8";"    35.5";"    28.9"
"Leidsebuurt Zuidoost";"Buurt     ";"BU03630703";"     290";"      30";"     110";"      75";"      40";"      80";"      50";"     592";"      20";"      70";"     150";"    41.9";"    31.3";"    39.1"
"Weteringbuurt";"Buurt     ";"BU03630704";"    2425";"     250";"    1070";"     545";"     280";"     785";"     290";"     560";"     100";"     350";"    1580";"    58.5";"    29.3";"    39.3"
"Den Texbuurt";"Buurt     ";"BU03630705";"    1080";"     115";"     375";"     275";"     190";"     335";"     120";"     779";"      40";"     240";"     610";"    48.9";"    29.0";"    40.3"
"Utrechtsebuurt Zuid";"Buurt     ";"BU03630706";"    1170";"     125";"     410";"     340";"     205";"     335";"     125";"     635";"     100";"     350";"     600";"    48.3";"    29.7";"    38.1"
"Frederikspleinbuurt";"Buurt     ";"BU03630707";"     925";"      85";"     330";"     275";"     140";"     285";"     115";"     725";"      60";"     140";"     570";"    55.2";"    26.5";"    43.8"
"Weesperbuurt/Plantage";"Wijk      ";"WK036308  ";"    7480";"     990";"    2745";"    1940";"    1170";"    2060";"    1225";"     541";"     790";"    1570";"    4220";"    45.1";"    33.8";"    34.4"
"Weesperbuurt";"Buurt     ";"BU03630800";"    3105";"     480";"    1120";"     720";"     585";"     890";"     480";"     528";"     220";"     760";"    1730";"    46.0";"    36.5";"    31.9"
"Sarphatistrook";"Buurt     ";"BU03630801";"    2170";"     255";"     895";"     625";"     215";"     580";"     480";"     513";"     340";"     430";"    1210";"    43.8";"    33.7";"    33.1"
"de Plantage";"Buurt     ";"BU03630803";"    1805";"     225";"     550";"     510";"     335";"     480";"     225";"     597";"     170";"     330";"    1060";"    45.8";"    30.3";"    39.3"
"Alexanderplein e.o.";"Buurt     ";"BU03630804";"     395";"      35";"     180";"      85";"      35";"     105";"      45";"     523";"      40";"      70";"     230";"    41.5";"    28.1";"    37.9"
"Oostelijke Eilanden/Kadijken";"Wijk      ";"WK036309  ";"   13690";"    1635";"    4540";"    3945";"    2115";"    2875";"    3565";"     436";"    1910";"    3030";"    6660";"    33.2";"    39.3";"    25.8"
"Marine-Etablissement";"Buurt     ";"BU03630900";"      75";"       0";"      30";"      30";"      10";"      10";"      15";"       .";"       0";"      10";"      60";"       .";"       .";"       ."
"Kattenburg";"Buurt     ";"BU03630901";"    1725";"     355";"     475";"     370";"     360";"     325";"     405";"     408";"     270";"     470";"     640";"    24.9";"    51.1";"    15.9"
"Wittenburg";"Buurt     ";"BU03630902";"    2560";"     215";"     895";"     860";"     370";"     480";"     905";"     404";"     580";"     660";"    1030";"    30.9";"    37.6";"    22.4"
"Oostenburg";"Buurt     ";"BU03630903";"    1730";"     175";"     620";"     515";"     230";"     345";"     580";"     423";"     230";"     320";"     930";"    32.9";"    40.0";"    25.1"
"Czaar Peterbuurt";"Buurt     ";"BU03630904";"    2395";"     265";"    1115";"     520";"     245";"     545";"     715";"     349";"     290";"     530";"    1200";"    32.0";"    38.9";"    26.0"
"Het Funen";"Buurt     ";"BU03630905";"    1340";"     190";"     335";"     415";"     130";"     335";"     290";"     602";"     120";"     230";"     650";"    41.4";"    30.5";"    42.3"
"Kazernebuurt";"Buurt     ";"BU03630907";"     955";"     130";"     290";"     280";"     200";"     190";"     200";"     461";"     120";"     150";"     570";"    34.6";"    39.0";"    24.1"
"Kadijken";"Buurt     ";"BU03630908";"    2905";"     310";"     790";"     965";"     585";"     660";"     455";"     492";"     280";"     690";"    1590";"    36.8";"    37.4";"    28.8"
"Westelijk Havengebied";"Wijk      ";"WK036310  ";"     105";"      15";"      40";"      25";"      15";"      25";"      25";"       .";"       .";"       .";"       .";"    25.6";"       .";"       ."
